"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"ANTHRO","227","Anthropology","Historical Archaeology Research","4","4","-","Historical archaeology seminar. Subject matter will vary from year to year.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","228","Anthropology","Archaeological Method","4","4","-","Various topics and issues in the methods of archaeological analysis and interpretation: style, ceramics, architectural analysis, lithic analysis, archaeozoology, etc. ","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","229A","Anthropology","Archaeological Research Strategies: History of Theory in Anthropological Archaeology","4","4","-","Required for all first and second year graduate students in archaeology. Three hours of seminar discussion of major issues in the history and theory of archaeological research and practice (229A), and of the research strategies and design for various kinds of archaeological problems (229B). To be offered alternate semesters.","-","Course is not repeatable for credit.","-","-","-"
"ANTHRO","229B","Anthropology","Archaeological Research Strategies: Research Design","4","4","-","Required for all first and second year graduate students in archaeology. Three hours of seminar discussion of major issues in the history and theory of archaeological research and practice (229A), and of the research strategies and design for various kinds of archaeological problems (229B). To be offered alternate semesters. ","-","Course is not repeatable for credit.","-","-","-"
"ANTHRO","229C","Anthropology","Writing the Field Statement in Archaeology","4","4","-","This seminar is intended to guide students in the definition of a field within archaeology, from initial conceptualization to writing of a field statement, dissertation chapter, or review article. ","-","Course is not repeatable for credit.","-","-","-"
"ANTHRO","230","Anthropology","Special Topics in Archaeology","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","231","Anthropology","Advanced Topics in Bioarchaeology","4","4","-","This advanced seminar course explores how we reconstruct past lifeways from archaeological skeletal remains. It deals with the skeletal biology of past populations, covering both the theoretical approaches and methods used in the analysis of skeletal and dental remains.","-","Course is not repeatable for credit.","-","-","-"
"ANTHRO","232","Anthropology","Advanced Topics in Bone Biology: Biocultural and Evolutionary Perspectives","4","4","-","This advanced seminar course will discuss influences on bone health and maintence from a unique biocultural and evolutionary perspective.","-","Course is not repeatable for credit.","-","-","-"
"ANTHRO","235","Anthropology","Special Topics in Museum Anthropology","4","4","-","Contemporary issues in museum studies from an anthropological perspective.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","240A","Anthropology","Fundamentals of Anthropological Theory","5","5","-","Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural anthropology.","-","Course is not repeatable for credit.","-","-","-"
"ANTHRO","240B","Anthropology","Fundamentals of Anthropological Theory","5","5","-","Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural anthropology.","-","Course is not repeatable for credit.","-","-","-"
"ANTHRO","250","Anthropology","Seminars in Social and Cultural Anthropology","0","0","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250A","Anthropology","Seminars in Social and Cultural Anthropology: Psychological Anthropology","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250E","Anthropology","Seminars in Social and Cultural Anthropology: Anthropology of Politics","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250F","Anthropology","Seminars in Social and Cultural Anthropology: Religion","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250G","Anthropology","Seminars in Social and Cultural Anthropology: Anthropology of Ethics","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250J","Anthropology","Seminars in Social and Cultural Anthropology: Ethnographic Field Methods","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250N","Anthropology","Seminars in Social and Cultural Anthropology: Classic Ethnography","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250R","Anthropology","Seminars in Social and Cultural Anthropology: Dissertation Writing","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250V","Anthropology","Seminars in Social and Cultural Anthropology: Tourism","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250X","Anthropology","Seminars in Social and Cultural Anthropology: Special Topics","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","250Z","Anthropology","The Enigma of Authority","4","4","-","What grounds authority? The notion of authority – whether it be epistemological, scientific, political, religious, or divine – is in some ways linked to questions of power: the power to author and to authorize. But on what basis do we give credit to this power, and how are we moved? In asking what moves us to give, this graduate seminar touches on a key humanistic concern. Why is it that power can be produced, but authority can only be given? Why does a question concerning authority slide so easily into the register of the mystical and the divine? What does authority’s enigmatic origins reveal? Considering the rise of authoritarianism across different political and societal contexts, it is timely to re-visit the problem of authority. ","-","Course is not repeatable for credit.","-","-","-"
